Title,Link
"08-086 to amend the sanitary surcharge and wastewater abatement by-law no. 03-272, as amended",https://www.hamilton.ca/sites/default/files/2022-02/08-086.pdf
13-206 to amend the site alteration by-law no. 03-126,https://www.hamilton.ca/sites/default/files/2022-04/13-206-Repealed.pdf
10-030 to amend the sewer and drain by-law no 06-026,https://www.hamilton.ca/sites/default/files/2024-01/10-030-repealed.pdf
"reference by-law no. 24-024, report 24-002 (ped23143(c)",https://www.hamilton.ca/sites/default/files/2024-02/24-024.pdf
"by-law no. 21-021 - office consolidation(pdf, 764.55 kb)",https://www.hamilton.ca/sites/default/files/2023-11/21-021-consolidation-nov82023.pdf
05-379 to amend the waterworks by-law no. r84-026,https://www.hamilton.ca/sites/default/files/2022-02/05-379.pdf
"20-169 to amend by-law no. 01-219, to manage and regulate municipal parks, and administrative penalty by-law no. 17-225 to create special enforcement areas",https://www.hamilton.ca/sites/default/files/2022-04/20-169.pdf
"city of hamilton zoning by-law 6593(pdf, 2.76 mb)",https://www.hamilton.ca/sites/default/files/2022-12/hamilton-zoning-by-law-6593-nov2022.pdf
"schedule d: holding provisions(pdf, 593.1 kb)",https://www.hamilton.ca/sites/default/files/2024-02/zoningby-law05-200-schedule-d-holding-feb2024.pdf
10-288 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-03/10-288-Repealed.pdf
76-34 to amend motorized snow vehicles by-law no. 71-23,https://www.hamilton.ca/sites/default/files/2022-06/76-34.pdf
20-214 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-04/20-214.pdf
13-313 to amend by-law no. 08-161 a by-law respecting building permits and related matters,https://www.hamilton.ca/sites/default/files/2022-04/13-313-Repealed.pdf
"18-009 to amend by-law no. 17-225, to establish a system of administrative penalties",https://www.hamilton.ca/sites/default/files/2022-05/18-009.pdf
"section: 10.2 - neighbourhood commercial (c2) zone(pdf, 167.85 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section10-2-c2zone-nov2021.pdf
"reimagining neighbourhoods consultation summary results(pdf, 1.86 mb)",https://www.hamilton.ca/sites/default/files/2024-05/residential-zoning-reimagining-neighbourhoods-Consultation-Summary-Report.pdf
"section: 13.3 - parking (u3) zone(pdf, 135.91 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section13-3-u3zone-nov2021.pdf
"by-law no. 20-077(pdf, 99.63 kb)",https://www.hamilton.ca/sites/default/files/2022-04/20-077.pdf
by-law no. 03-296 - office consolidation,https://www.hamilton.ca/sites/default/files/2023-05/03-296-Office_Consolidation.pdf
17-079 to amend responsible animal ownership by-law no. 12-031,https://www.hamilton.ca/sites/default/files/2022-05/17-079.pdf
345-76 respecting the operation of motorized snow vehicles in the town of stoney creek,https://www.hamilton.ca/sites/default/files/2022-01/stoney-creek_-by-law-no-345-76-and-amendments.pdf
20-215 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-04/20-215.pdf
23-162 to prescribe standards for the maintenance and occupancy of property and to repeal by-law no. 10-221,https://www.hamilton.ca/sites/default/files/2023-09/23-162.pdf
"by-law no. 19-286 - office consolidation(pdf, 272.58 kb)",https://www.hamilton.ca/sites/default/files/2023-05/19-286-consolidation-may2023-1.pdf
"section: 9.8 - airport related business (m8) zone(pdf, 95.6 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section9-8-m8zone-may2022.pdf
12-134 to amend the waterworks by-law no. r84-026,https://www.hamilton.ca/sites/default/files/2022-04/12-134.pdf
"snapshot of ideas we heard from streetfest(pdf, 127.89 kb)",https://www.hamilton.ca/sites/default/files/2022-09/park-sam-lawrence-streetfest-summary.pdf
"21-245 to amend by-law no. 21-121, to regulate off-road vehicles",https://www.hamilton.ca/sites/default/files/2022-04/21-245.pdf
"repealed by by-law no. 23-235, december 13, 2023(pdf, 216.91 kb)",https://www.hamilton.ca/sites/default/files/2023-12/23-235.pdf
19-181 whistleblower by-law,https://www.hamilton.ca/sites/default/files/2023-08/19-181consolidation-aug2023.pdf
08-301 to amend the sewer and drain by-law no. 06-026,https://www.hamilton.ca/sites/default/files/2024-01/08-301-repealed.pdf
"21-145 to amend by-law no. 17-225, to establish a system of administrative penalties",https://www.hamilton.ca/sites/default/files/2022-03/21-145.pdf
"20-129 to amend by-law no. 18-270, the council procedural by-law",https://www.hamilton.ca/sites/default/files/2022-04/20-129-Repealed.pdf
18-093 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-05/18-093.pdf
"section 6.6 - downtown multiple residential (d6) zone(pdf, 137.34 kb)",https://www.hamilton.ca/sites/default/files/2022-05/zoningby-law05-200-section6-6-d6zone-nov2021.pdf
"section: 10.7 - arterial commercial (c7) zone(pdf, 146.62 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section10-7-c7zone-nov2021.pdf
05-200 zoning by-law section 1: administration,https://www.hamilton.ca/sites/default/files/2024-04/zoningby-law05-200-section1-admin-apr2024.pdf
"section: 9.7 - airside industrial (m7) zone(pdf, 136.93 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section9-7-m7zone-nov2021.pdf
"12-021 to amend by-law no. 07-170, a by-law to license and regulate various businesses",https://www.hamilton.ca/sites/default/files/2022-04/12-021.pdf
17-263 to amend the sanitary surcharge and wastewater abatement by-law no. 03-272 and implement the 2018 fees and charges,https://www.hamilton.ca/sites/default/files/2022-06/17-263.pdf
"21-200 to amend by-law no. 20-221,to provide for and regulate a waste management system for the city of hamilton",https://www.hamilton.ca/sites/default/files/2022-04/21-200.pdf
20-018 to amend property standards by-law no. 10-221 with respect to incomplete and unrepairable buildings.,https://www.hamilton.ca/sites/default/files/2022-04/20-018.pdf
16-265-02 omb case no. pl161168 - to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-07/16-265-OMBDecision-02.pdf
"pic #1 display panels(pdf, 2.27 mb)",https://www.hamilton.ca/sites/default/files/2022-09/park-sam-lawrence-pic1-panels.pdf
"18-125 to amend the council code of conduct, being by-law no. 16-290",https://www.hamilton.ca/sites/default/files/2022-05/18-125.pdf
"18-083 to amend by-law no. 17-225, to establish a system of administrative penalties",https://www.hamilton.ca/sites/default/files/2022-05/18-083.pdf
21-231 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-11/21-231.pdf
19-165 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-05/19-165.pdf
"20-145 to amend by-law no. 18-270, the council procedural by-law",https://www.hamilton.ca/sites/default/files/2022-04/20-145-Repealed.pdf
"22-267  to amend by-law no. 21-021, a by-law to govern the proceedings of council and committees of council",https://www.hamilton.ca/sites/default/files/2022-12/22-267.pdf
"15-004 to amend the leash free zone provisions of city of hamilton by-law no. 12-031, being a by-law for responsible animal ownership",https://www.hamilton.ca/sites/default/files/2022-06/15-004.pdf
13-211 to amend the sanitary surcharge and wastewater abatement by-law no. 03-272,https://www.hamilton.ca/sites/default/files/2022-04/13-211.pdf
"complete a permit to construct or demolish application form(pdf, 146.95 kb)",https://www.hamilton.ca/sites/default/files/2022-12/construction-building-permit-construct-demolish-application-form-dec2022.pdf
08-154 lntegrity commissioner by-law,https://www.hamilton.ca/sites/default/files/2022-03/08-154-Repealed.pdf
"by-law 19-142 - consolidated(pdf, 14.31 mb)",https://www.hamilton.ca/sites/default/files/2023-02/19-142-consolidated.pdf
"21-250 to amend by-law no. 06-026, the sewer and drain by-law",https://www.hamilton.ca/sites/default/files/2024-01/21-250-repealed.pdf
09-210 to amend zoning by-laws of the former area municipalities,https://www.hamilton.ca/sites/default/files/2022-03/09-210.pdf
17-095 lpat case no. pl170742 - to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-05/17-095-lpat.pdf
"08-225 to amend by-law no. 07-170, to license and regulate various businesses",https://www.hamilton.ca/sites/default/files/2022-02/08-225.pdf
"22-248 to amend by-law no. 07-170, a by-law to license and regulate various businesses",https://www.hamilton.ca/sites/default/files/2022-09/22-248.pdf
"hamilton’s building permit by-law 15-058(pdf, 291.14 kb)",https://www.hamilton.ca/sites/default/files/2023-04/15-058-consolidation-dec2022.pdf
03-209 to amend parks by-law 01-219,https://www.hamilton.ca/sites/default/files/2022-06/03-209.pdf
